Graph Size,Cut Value
25,518.0
25,522.0
25,511.0
25,503.0
25,551.0
25,512.0
25,532.0
25,485.0
25,534.0
25,545.0
25,511.0
25,475.0
25,505.0
25,529.0
25,540.0
25,519.0
25,517.0
25,525.0
25,504.0
25,560.0
25,532.0
25,528.0
25,504.0
25,517.0
25,499.0
25,528.0
25,498.0
25,513.0
25,550.0
25,496.0
25,525.0
25,527.0
25,509.0
25,578.0
25,511.0
25,544.0
25,547.0
25,519.0
25,510.0
25,549.0
25,555.0
25,476.0
25,524.0
25,493.0
25,532.0
25,448.0
25,521.0
25,503.0
25,447.0
25,522.0
25,531.0
25,465.0
25,489.0
25,545.0
25,543.0
25,508.0
25,457.0
25,523.0
25,512.0
25,526.0
25,442.0
25,557.0
25,475.0
25,549.0
25,532.0
25,500.0
25,527.0
25,516.0
25,515.0
25,507.0
25,505.0
25,534.0
25,507.0
25,534.0
25,481.0
25,546.0
25,500.0
25,487.0
25,519.0
25,552.0
25,553.0
25,543.0
25,538.0
25,530.0
25,534.0
25,559.0
25,530.0
25,551.0
25,535.0
25,551.0
25,500.0
25,462.0
25,478.0
25,541.0
25,462.0
25,473.0
25,514.0
25,490.0
25,498.0
25,560.0
25,511.0
25,548.0
25,507.0
25,484.0
25,486.0
25,514.0
25,554.0
25,565.0
25,496.0
25,473.0
25,546.0
25,559.0
25,474.0
25,479.0
25,541.0
25,414.0
25,610.0
25,508.0
25,499.0
25,536.0
25,531.0
25,538.0
25,458.0
25,562.0
25,527.0
25,507.0
25,531.0
25,547.0
25,499.0
25,562.0
25,589.0
25,543.0
25,465.0
25,588.0
25,545.0
25,542.0
25,561.0
25,488.0
25,511.0
25,557.0
25,467.0
25,522.0
25,550.0
25,468.0
25,533.0
25,540.0
25,525.0
25,570.0
25,544.0
25,524.0
25,551.0
25,488.0
25,561.0
25,449.0
25,491.0
25,516.0
25,532.0
25,523.0
25,517.0
25,515.0
25,511.0
25,483.0
25,500.0
25,557.0
25,569.0
25,534.0
25,512.0
25,470.0
25,527.0
25,476.0
25,531.0
25,520.0
25,563.0
25,541.0
25,530.0
25,460.0
25,578.0
25,523.0
25,446.0
25,478.0
25,525.0
25,545.0
25,503.0
25,538.0
25,491.0
25,536.0
25,470.0
25,543.0
25,497.0
25,475.0
25,430.0
25,495.0
25,513.0
25,506.0
25,562.0
25,518.0
25,479.0
25,480.0
25,607.0
25,433.0
25,543.0
25,515.0
25,531.0
25,572.0
25,451.0
25,524.0
25,507.0
25,569.0
25,508.0
25,580.0
25,529.0
25,508.0
25,535.0
25,549.0
25,506.0
25,530.0
25,559.0
25,473.0
25,543.0
25,504.0
25,574.0
25,576.0
25,474.0
25,460.0
25,500.0
25,522.0
25,515.0
25,537.0
25,497.0
25,486.0
25,456.0
25,471.0
25,557.0
25,520.0
25,458.0
25,527.0
25,535.0
25,454.0
25,514.0
25,514.0
25,507.0
25,572.0
25,489.0
25,566.0
25,570.0
25,580.0
25,541.0
25,532.0
25,521.0
25,568.0
25,595.0
25,484.0
25,531.0
25,550.0
25,564.0
25,443.0
25,491.0
25,498.0
25,454.0
25,493.0
25,482.0
25,566.0
25,514.0
25,492.0
25,514.0
25,548.0
25,483.0
25,473.0
25,496.0
25,485.0
25,538.0
25,488.0
25,543.0
25,559.0
25,568.0
25,550.0
25,507.0
25,488.0
25,535.0
25,474.0
25,514.0
25,540.0
25,545.0
25,523.0
25,511.0
25,470.0
25,550.0
25,527.0
25,582.0
25,562.0
25,563.0
25,534.0
25,534.0
25,545.0
25,455.0
25,504.0
25,480.0
25,493.0
25,564.0
25,526.0
25,563.0
25,501.0
25,511.0
25,536.0
25,539.0
25,449.0
25,501.0
25,487.0
25,550.0
25,485.0
25,512.0
25,486.0
25,520.0
25,506.0
25,555.0
25,551.0
25,534.0
25,537.0
25,487.0
25,528.0
25,545.0
25,469.0
25,488.0
25,540.0
25,524.0
25,535.0
25,538.0
25,518.0
25,519.0
25,552.0
25,513.0
25,492.0
25,530.0
25,509.0
25,514.0
25,558.0
25,512.0
25,499.0
25,490.0
25,526.0
25,544.0
25,433.0
25,559.0
25,496.0
25,517.0
25,520.0
25,469.0
25,515.0
25,485.0
25,482.0
25,537.0
25,527.0
25,533.0
25,549.0
25,526.0
25,509.0
25,561.0
25,559.0
25,496.0
25,509.0
25,571.0
25,479.0
25,530.0
25,520.0
25,579.0
25,537.0
25,521.0
25,494.0
25,474.0
25,505.0
25,503.0
25,514.0
25,525.0
25,522.0
25,489.0
25,550.0
25,526.0
25,489.0
25,460.0
25,535.0
25,500.0
25,523.0
25,508.0
25,478.0
25,516.0
25,543.0
25,582.0
25,530.0
25,580.0
25,518.0
25,556.0
25,458.0
25,564.0
25,536.0
25,486.0
25,485.0
25,488.0
25,484.0
25,536.0
25,547.0
25,504.0
25,471.0
25,501.0
25,468.0
25,512.0
25,491.0
25,515.0
25,515.0
25,525.0
25,521.0
25,507.0
25,518.0
25,533.0
25,526.0
25,538.0
25,493.0
25,505.0
25,580.0
25,554.0
25,493.0
25,503.0
25,529.0
25,496.0
25,495.0
25,530.0
25,493.0
25,536.0
25,549.0
25,491.0
25,498.0
25,528.0
25,529.0
25,497.0
25,509.0
25,560.0
25,467.0
25,516.0
25,533.0
25,543.0
25,473.0
25,526.0
25,494.0
25,501.0
25,538.0
25,508.0
25,594.0
25,479.0
25,513.0
25,537.0
25,524.0
25,449.0
25,539.0
25,558.0
25,504.0
25,508.0
25,502.0
25,502.0
25,459.0
25,559.0
25,534.0
25,549.0
25,567.0
25,544.0
25,489.0
25,493.0
25,524.0
25,517.0
25,536.0
25,578.0
25,546.0
25,586.0
25,510.0
25,504.0
25,491.0
25,487.0
25,524.0
25,529.0
25,533.0
25,482.0
25,518.0
25,484.0
25,536.0
25,486.0
25,550.0
25,532.0
25,511.0
25,545.0
25,488.0
25,526.0
25,527.0
25,528.0
25,557.0
25,520.0
25,533.0
25,487.0
25,494.0
25,519.0
25,493.0
25,554.0
25,559.0
25,493.0
25,559.0
25,525.0
25,490.0
25,548.0
25,516.0
25,474.0
25,566.0
25,480.0
25,559.0
25,502.0
25,541.0
25,448.0
25,492.0
25,546.0
25,524.0
25,560.0
25,501.0
25,513.0
25,493.0
25,514.0
25,528.0
25,508.0
25,546.0
25,542.0
25,520.0
25,435.0
25,524.0
25,525.0
25,526.0
25,491.0
25,606.0
25,476.0
25,526.0
25,534.0
25,526.0
25,534.0
25,551.0
25,478.0
25,563.0
25,559.0
25,571.0
25,551.0
25,496.0
25,484.0
25,546.0
