Graph Size,Cut Value
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,515
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,515
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,514
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,514
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,515
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,515
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,515
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,515
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,515
25,518
25,518
25,518
25,518
25,518
25,518
25,515
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,515
25,518
25,518
25,518
25,518
25,518
25,518
25,515
25,518
25,518
25,518
25,518
25,514
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,515
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,515
25,518
25,518
25,518
25,518
25,518
25,514
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,515
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,514
25,518
25,518
25,518
25,518
25,518
25,515
25,518
25,518
25,518
25,518
25,518
25,518
25,515
25,518
25,518
25,518
25,518
25,518
25,518
25,515
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,518
25,514
25,518
25,518
25,518
25,518
